10 0.316227766016838 2.00936153617668 1.36481597777005  3.32127600314645 0.369237501895947 6.32794822579671 0.836019338750523
12 0.288675134594813 2.04612911140694 0.867589560302361  3.90892775361845 0.50456493714946 2.9660158583913 0.445653460650436
15 0.258198889747161 2.03656238261944 0.526098996250999  3.43911430512829 0.770451006083791 1.59376697058531 0.792893352544423
18 0.235702260395516 1.96926807935727 1.1762919620604  1.13717565020762 0.0764463190330087 4.25835604357767 0.0939176265821473
22 0.21320071635561 1.71558134800628 0.0983840165213659  0.836247576874265 0.994391637520357 3.0548046578287 0.513653739666651
27 0.192450089729875 1.45535943043741 1.03392155166567  3.74201469529429 0.418351451807273 1.43524409515905 0.0267654893448874
33 0.174077655955698 1.34010754395064 1.01731077026199  1.19983386919618 0.242158674719462 1.73338123427077 0.811332496316106
41 0.156173761888606 1.2357866874234 0.721739515822271  0.693522834405785 0.11442181548283 2.87211143488331 0.79461096009643
51 0.140028008402801 1.03969060236109 1.41984752489803  0.0322480646820311 0.105694168030929 0.498823249862163 0.345003593877863
63 0.125988157669742 0.903289905013482 1.18328548680608  0.872535699874456 0.071808865560282 0.563228351437881 0.592788669765145
78 0.11322770341446 0.866241559029377 0.727651204041508  0.243466747245412 0.234980225179338 1.99201223480313 0.310253801587224
97 0.101534616513362 0.769685706712903 0.457149250295963  0.272044293059667 0.201072273800188 0.533057896516252 0.201532010205176
121 0.0909090909090909 0.691303281346219 0.238176259400191  0.0877391303081453 0.0800162979667398 0.918704603899344 0.037272509190033
151 0.0813788458771159 0.606241714752126 0.293142681084878  0.0886877340400341 0.0134185440446348 0.171385470850477 0.0781354537230481
188 0.0729324957489473 0.55201695480698 0.100796412497463  0.143743599897668 0.0640762363002843 1.05169525853556 0.18528112458641
235 0.0652328073053442 0.496132180251785 0.0607815019817322  0.169645894217694 0.0044976446164231 0.114449071472495 0.0997058938365001
293 0.0584206237836986 0.441797361709466 0.0461535614384783  0.164011012740433 0.0181619263215254 0.120638906515436 0.0779781486372597
366 0.0522708373489317 0.399203754827443 0.0650081912944156  0.0591070916348855 0.0943021062947498 0.012823282526145 0.115112664580755
457 0.0467780269724988 0.347011343730293 0.149566588980674  0.00632397232020218 0.0615334226704753 0.0280203146636654 0.0323362276245405
571 0.0418486975318687 0.315338391491013 0.127951717244603  0.0579374825737781 0.0166563266393709 0.0897245144094821 0.0277345646381644
713 0.0374502943136569 0.282799589277864 0.150325531760267  0.0481325266444819 0.0106134562942692 0.132220637260786 0.0105173990868668
891 0.0335012605086404 0.252259036836628 0.164302139435033  0.124644077400412 0.0110959397975341 0.0162089206728057 0.0261863530089359
1113 0.029974532466509 0.22826550641048 0.153717700965284  0.0972895558376864 0.00358752801715934 0.205830714718045 0.000501381161777559
1391 0.0268124460085859 0.203124094649781 0.0827581426927999  0.0320928375101888 0.00383398163197146 0.151671523281578 0.0387080112478042
1738 0.0239869546440458 0.181975780448029 0.0529360313874196  0.0412551029894416 0.00411114157064585 0.0218073396554723 0.0113684416319817
2172 0.0214570537711437 0.161759039165476 0.028445480488088  0.0396096856225665 0.00530262943879301 0.0271030480416277 0.00414248852075794
2715 0.0191917723316582 0.144296335070468 0.0544761256402682  0.0145521707578766 0.00473312748659183 0.0999295264058559 0.00899567601468121
3393 0.0171675400874868 0.128276913247198 0.000190527353867154  0.021543561810463 0.0055406297112004 0.00463941247504714 0.00351937477801734
4241 0.0153555672295826 0.115297021269173 0.0956178273421262  0.0138277789722043 0.00140480840591195 0.0337887656808909 0.00618596791840886
5301 0.0137347607238388 0.102712858228736 0.0445698943520974  0.00900088215833786 0.000484086340719614 0.0166918316652178 0.000813138681302839
6626 0.0122849752037239 0.0921505947318531 0.0616619030743646  0.00520790861301841 0.00118890593079968 0.0148064334601769 0.00168581167119619
8282 0.0109883475416116 0.0819623754032583 0.0257833767214386  0.00116655360891035 0.00289315166565807 0.0262987557841698 0.00344747475642038
10352 0.00982851417463439 0.0733175638492645 0.00618306088416531  0.00432110396659172 0.00133847477923243 0.00215831051586111 0.00304627891095866
12940 0.0087908903249211 0.0655804896812861 0.0201856494381865  0.00340639056521243 4.38759206078387E-05 0.00063764622533601 0.00123999111769457
16175 0.00786281133970751 0.0585879249687691 0.0375686910072881  0.000340079004368442 0.000333868951815752 0.00220402366743879 0.00319540356224657
20218 0.00703284270026926 0.0524814559751217 0.0260760540417033  0.00134717633942626 0.00100909826540452 0.000153795273788894 0.000442924189126614
25272 0.00629042796746998 0.0469207097714851 0.0279867673824956  0.00127953383490486 0.000101208213311388 0.00343049010219553 8.27932422566846E-05
31590 0.00562632981713148 0.0419671428861996 0.0341193222582463  0.000375151113741166 0.000351993710705933 0.00061742894788313 0.000241834764533877
39487 0.00503237423462913 0.0375491282607222 0.0484781815480764  0.000572511563988856 0.000624999397055959 0.00169863622578157 0.000480953853194244
49358 0.00450112654789556 0.0335666296716155 0.0667562404383641  0.000478907025538593 0.000533005837068501 0.00266389043841169 0.000361536864426526
61697 0.00402594628784967 0.0300498689155942 0.0559289797686828  0.00144732850202015 0.000138975564926369 0.00369545416632372 0.000512461165962819
77121 0.00360092166582417 0.0268927290108562 0.0526547511881388  0.00066913788647344 2.59378850522296E-05 0.00118487759076588 6.1419276489616E-05
96401 0.00322076642682742 0.0240778787163855 0.0499398115586018  0.000261251569293603 0.000115288818171244 0.000148835553591987 0.000613602607531405
120501 0.00288074405630835 0.021524833866966 0.0401613936206218  7.70313899501282E-05 1.6750539166388E-05 0.000605915082203167 0.000107681138007187
150626 0.00257661795252888 0.0192654419465173 0.0278018124837089  0.000610004814695639 3.59069199618034E-05 0.000485784162233225 0.000384497732607514
188282 0.00230460021759216 0.0172416101558927 0.0260701162443588  4.19129391780624E-05 8.69000464298608E-05 0.000381973327635933 2.76974704274124E-05
235352 0.00206129928858712 0.0154130591641436 0.0172465894680895  0.000136382316235987 1.58917293031635E-05 0.000782667137410443 0.000137753851921829
294190 0.0018436821325011 0.0137758583157777 0.0216200380584217  0.000113923045427173 5.64431350991157E-05 0.000536385495323213 0.000126504529883498
367737 0.00164904055194186 0.0123347636476234 0.0116566774372444  0.000375064839455921 7.90233766423398E-07 0.00042354585128486 3.33712646698459E-05
459671 0.00147494710980586 0.0110413579972469 0.00821017207984198  4.23126571612179E-05 3.32682706378762E-05 0.000258592895113192 2.81313174674835E-05
574588 0.00131923366128295 0.00988304354490964 0.00465492374309129  0.000164547722319045 1.30090631120794E-05 0.00016818694292016 3.73810653186979E-06
718235 0.00117995845793384 0.00884384180661461 0.00630873712762003  0.000136839443628144 1.21908971681961E-05 0.000237908854460674 5.21051335766742E-06
897793 0.00105538736985182 0.00790960333714773 0.012340430259612  2.06842885388936E-05 1.56115481928509E-05 2.7748822938068E-05 6.73892914555552E-05
1122241 0.000943967265776449 0.00707463344926957 0.00885036638872982  7.6343046550817E-06 1.77474013138834E-05 0.000155674590295163 1.25838232314379E-05
1402801 0.000844310065158595 0.00632698045455739 0.00892436015590725  6.59960099325422E-05 1.87951022887489E-05 1.95102650871882E-05 4.03650635512065E-05
1753501 0.00075517393374605 0.00565910143100138 0.00838238434902827  2.59779033540792E-05 2.88662339986701E-06 2.07689132971051E-05 4.16091955912634E-06
